trial,val_loss,params_M,n_modes,hidden_channels,n_layers,film_mlp_layers,film_mlp_neurons
8,0.6156760597229004,0.052163,8,16,2,2,128
37,0.5860602569580078,0.056131,8,16,2,4,64
50,0.5619684505462647,0.094067,8,16,4,6,32
12,0.501024233341217,0.136163,8,16,6,4,32
5,0.4367782998085022,0.152131,16,16,2,2,32
58,0.42807654094696046,0.154243,16,16,2,4,32
24,0.40636129450798036,0.224707,16,16,2,6,128
31,0.36244305419921874,0.307059,16,16,4,2,64
42,0.35835864782333376,0.315507,16,16,4,2,128
16,0.35265749430656435,0.323699,16,16,4,6,64
41,0.3345769624710083,0.455651,16,16,6,4,32
56,0.31068613600730893,0.651123,24,16,4,6,32
15,0.30556831741333007,0.971747,24,16,6,4,32
9,0.2955739893913269,0.988451,24,16,6,2,128
47,0.2562470116615295,1.126259,32,16,4,6,32
33,0.2326411497592926,1.259491,16,32,4,4,128
6,0.16665977466106416,2.410499,16,64,2,2,64
57,0.16501296937465668,7.204355,16,64,6,4,64
26,0.16326255357265473,7.278467,16,64,6,4,128
18,0.15284857177734376,10.341315,24,64,4,2,128
45,0.14499251902103424,10.374339,24,64,4,4,128
49,0.13627121651172638,15.428867,24,64,6,2,32
38,0.13013844096660615,18.009539,32,64,4,6,128
44,0.12197957789897919,26.906243,32,64,6,2,128
