number,val_loss,n_params,datetime_start,datetime_complete,duration,params_film_mlp_layers,params_film_mlp_neurons,params_hidden_channels,params_n_layers,params_n_modes,user_attrs_best_val_loss,user_attrs_n_params,user_attrs_n_params_M,system_attrs_NSGAIISampler:generation,state,params_M
0,0.325247154712677,17976515.0,2026-03-20 19:51:41.447813,2026-03-20 20:21:29.251238,0 days 00:29:47.803425,4,128,64,4,32,0.325247154712677,17976515,17.98,0,COMPLETE,17.976515
1,0.39521975231170653,2084227.0,2026-03-20 20:21:29.251238,2026-03-20 21:00:48.847706,0 days 00:39:19.596468,2,64,64,6,8,0.39521975231170653,2084227,2.08,0,COMPLETE,2.084227
2,0.7124976625442505,85187.0,2026-03-20 21:00:48.848697,2026-03-20 21:05:20.499141,0 days 00:04:31.650444,4,128,16,2,8,0.7124976625442505,85187,0.09,0,COMPLETE,0.085187
3,0.4254592514038086,6744131.0,2026-03-20 21:05:20.500150,2026-03-20 21:26:35.640870,0 days 00:21:15.140720,6,64,32,6,32,0.4254592514038086,6744131,6.74,0,COMPLETE,6.744131
4,0.33652943110466005,10308291.0,2026-03-20 21:26:35.640870,2026-03-20 21:54:03.102583,0 days 00:27:27.461713,2,64,64,4,24,0.33652943110466005,10308291,10.31,0,COMPLETE,10.308291
5,0.5316877365112305,700355.0,2026-03-20 21:54:03.112208,2026-03-20 22:08:35.883229,0 days 00:14:32.771021,4,32,64,2,8,0.5316877365112305,700355,0.7,0,COMPLETE,0.700355
6,0.39354360628128054,5212675.0,2026-03-20 22:08:35.883229,2026-03-20 22:23:31.445149,0 days 00:14:55.561920,4,128,64,2,24,0.39354360628128054,5212675,5.21,0,COMPLETE,5.212675
7,0.5061013522148132,1126259.0,2026-03-20 22:23:31.445149,2026-03-20 22:31:09.925240,0 days 00:07:38.480091,2,64,16,4,32,0.5061013522148132,1126259,1.13,0,COMPLETE,1.126259
8,0.35036877512931824,7204355.0,2026-03-20 22:31:09.925240,2026-03-20 23:08:57.009695,0 days 00:37:47.084455,4,64,64,6,16,0.35036877512931824,7204355,7.2,0,COMPLETE,7.204355
9,0.5422008333206176,973859.0,2026-03-20 23:08:57.009695,2026-03-20 23:19:36.952905,0 days 00:10:39.943210,6,32,16,6,24,0.5422008333206176,973859,0.97,0,COMPLETE,0.973859
